@relation circle

@attribute x numeric
@attribute y numeric
@attribute class {q,c}

@data
-1.25,-1.25,q
-1.25,-1.2,q
-1.25,-1.15,q
-1.25,-1.1,q
-1.25,-1.05,q
-1.25,-1,q
-1.25,-0.95,q
-1.25,-0.9,q
-1.25,-0.85,q
-1.25,-0.8,q
-1.25,-0.75,q
-1.25,-0.7,q
-1.25,-0.65,q
-1.25,-0.6,q
-1.25,-0.55,q
-1.25,-0.5,q
-1.25,-0.45,q
-1.25,-0.4,q
-1.25,-0.35,q
-1.25,-0.3,q
-1.25,-0.25,q
-1.25,-0.2,q
-1.25,-0.15,q
-1.25,-0.1,q
-1.25,-0.05,q
-1.25,0,q
-1.25,0.05,q
-1.25,0.1,q
-1.25,0.15,q
-1.25,0.2,q
-1.25,0.25,q
-1.25,0.3,q
-1.25,0.35,q
-1.25,0.4,q
-1.25,0.45,q
-1.25,0.5,q
-1.25,0.55,q
-1.25,0.6,q
-1.25,0.65,q
-1.25,0.7,q
-1.25,0.75,q
-1.25,0.8,q
-1.25,0.85,q
-1.25,0.9,q
-1.25,0.95,q
-1.25,1,q
-1.25,1.05,q
-1.25,1.1,q
-1.25,1.15,q
-1.25,1.2,q
-1.25,1.25,q
-1.2,-1.25,q
-1.2,-1.2,q
-1.2,-1.15,q
-1.2,-1.1,q
-1.2,-1.05,q
-1.2,-1,q
-1.2,-0.95,q
-1.2,-0.9,q
-1.2,-0.85,q
-1.2,-0.8,q
-1.2,-0.75,q
-1.2,-0.7,q
-1.2,-0.65,q
-1.2,-0.6,q
-1.2,-0.55,q
-1.2,-0.5,q
-1.2,-0.45,q
-1.2,-0.4,q
-1.2,-0.35,q
-1.2,-0.3,q
-1.2,-0.25,q
-1.2,-0.2,q
-1.2,-0.15,q
-1.2,-0.1,q
-1.2,-0.05,q
-1.2,0,q
-1.2,0.05,q
-1.2,0.1,q
-1.2,0.15,q
-1.2,0.2,q
-1.2,0.25,q
-1.2,0.3,q
-1.2,0.35,q
-1.2,0.4,q
-1.2,0.45,q
-1.2,0.5,q
-1.2,0.55,q
