@relation circle

@attribute x real
@attribute y real
@attribute class {q,c}

@data
0.8703995,0.49263,c
-1.0335922,-1.0629654,q
-1.2409592,-1.192131,q
0.547905,0.3514099,c
-0.6154633,0.0268173,c
0.0673294,-1.1413574,q
-0.6317139,-0.1173782,c
0.4975128,-1.1965561,q
-0.9394836,0.7591248,q
0.3922653,0.0098419,c
0.777626,-0.5229187,c
0.265007,0.2629089,c
1.0198593,0.8241272,q
-1.1192322,1.0050964,q
-0.4397202,1.2110519,q
0.9473038,0.0508881,c
1.1936188,-0.1214981,q
-0.4484558,0.5960464,c
-1.0232162,1.1085892,q
0.4650879,0.8026123,c
0.9262085,-0.784874,q
1.1381912,-0.1026154,q
0.7960129,0.9856033,q
-0.2814102,0.9706116,q
-0.5302048,0.1504517,c
0.9736252,1.1647034,q
0.3575897,0.1741791,c
0.8706665,0.1866913,c
0.3841782,-1.2258911,q
0.7354736,1.2106705,q
0.6077576,0.7872009,c
-0.9371567,-0.9805679,q
0.151329,-0.6589508,c
0.9188461,-0.1762772,c
0.7152557,-0.6869507,c
0.3840256,-0.4986572,c
0.4982376,-0.4562378,c
-0.9519958,0.9732819,q
1.0867691,0.2040863,q
-0.7817841,0.9728241,q
1.0637283,0.952034,q
-0.9149551,-1.2083054,q
-0.0854111,0.1062775,c
-0.8372116,-0.1890945,c
-0.9274673,0.0270462,c
0.7584381,1.1515427,q
0.7496262,0.8168411,c
-0.61203,-0.7065201,c
0.3289032,1.0770798,q
0.772438,0.4555511,c
-0.0119019,0.3837585,c
-0.741806,0.3258133,c
1.1357117,-0.9817886,q
-0.80513,-1.1238861,q
0.4175186,1.1981201,q
0.4044342,0.058136,c
-1.0629654,0.5735397,q
0.7314682,-0.4799652,c
-0.593338,-0.4631805,c
0.2891541,0.8438492,c
0.3914642,-0.1060104,c
-0.9220505,-0.3858185,c
-0.7164383,0.6628036,c
0.5651855,-0.271225,c
-1.1867905,0.9730911,q
0.2118683,-0.2107239,c
-0.4829788,-0.0305176,c
0.1003647,-0.545311,c
0.2679062,-1.1774826,q
0.1189423,-1.0500717,q
-0.8269119,-0.5179977,c
0.6801224,0.2065659,c
0.9259033,0.7995987,q
-0.3132248,-1.1941147,q
-0.6387329,-0.7639694,c
-1.2260818,0.8496475,q
0.892868,1.2161636,q
0.3351974,-0.3465652,c
-0.98423,0.3129196,q
-0.7648468,-0.0921249,c
0.3105164,0.5691147,c
-0.0647354,-0.0936127,c
-0.5732727,-0.0838089,c
0.1467514,-0.7933807,c
0.9489441,0.4842377,q
0.1898575,0.6224442,c
1.228447,0.338974,q
0.0145721,0.2730942,c
-0.4254913,0.289917,c
-0.1753998,-1.190033,q
0.85392,-1.1526489,q
0.0224304,0.7802582,c
-0.173378,-1.2360001,q
-1.2317657,-0.5919647,q
0.1541519,-0.3798676,c
-0.5543137,1.2117767,q
-0.9104538,-0.7123947,q
0.5337524,-0.1311493,c
0.6026459,0.3751755,c
-0.6929398,0.0812149,c
